;Categorias;inflacao_acumulada;Mês;inflacao_media
0;frutas;15.91;2024-01;1.93
1;graos;1.6;2024-01;2.69
2;hortalicas;-8.41;2024-01;6.3
3;laticinios;10.82;2024-01;1.97
4;oleos_gorduras;12.37;2024-01;1.53
5;outros;10.9;2024-01;0.2
6;proteinas;16.53;2024-01;-1.14
7;frutas;15.91;2024-02;3.94
8;graos;1.6;2024-02;1.77
9;hortalicas;-8.41;2024-02;3.06
10;laticinios;10.82;2024-02;1.64
11;oleos_gorduras;12.37;2024-02;0.5
12;outros;10.9;2024-02;-0.61
13;proteinas;16.53;2024-02;0.66
14;frutas;15.91;2024-03;5.37
15;graos;1.6;2024-03;0.21
16;hortalicas;-8.41;2024-03;4.44
17;laticinios;10.82;2024-03;-0.56
18;oleos_gorduras;12.37;2024-03;0.53
19;outros;10.9;2024-03;0.44
20;proteinas;16.53;2024-03;-0.36
21;frutas;15.91;2024-04;5.51
22;graos;1.6;2024-04;-0.81
23;hortalicas;-8.41;2024-04;7.65
24;laticinios;10.82;2024-04;0.89
25;oleos_gorduras;12.37;2024-04;0.3
26;outros;10.9;2024-04;0.98
27;proteinas;16.53;2024-04;-0.25
28;frutas;15.91;2024-05;-2.58
29;graos;1.6;2024-05;-0.8
30;hortalicas;-8.41;2024-05;2.89
31;laticinios;10.82;2024-05;1.01
32;oleos_gorduras;12.37;2024-05;0.39
33;outros;10.9;2024-05;0.9
34;proteinas;16.53;2024-05;-0.14
35;frutas;15.91;2024-06;-5.97
36;graos;1.6;2024-06;-0.51
37;hortalicas;-8.41;2024-06;1.62
38;laticinios;10.82;2024-06;2.84
39;oleos_gorduras;12.37;2024-06;0.44
40;outros;10.9;2024-06;0.82
41;proteinas;16.53;2024-06;-0.86
42;frutas;15.91;2024-07;-4.74
43;graos;1.6;2024-07;-0.33
44;hortalicas;-8.41;2024-07;-12.38
45;laticinios;10.82;2024-07;-0.12
46;oleos_gorduras;12.37;2024-07;-0.56
47;outros;10.9;2024-07;0.91
48;proteinas;16.53;2024-07;-0.09
49;frutas;15.91;2024-08;6.59
50;graos;1.6;2024-08;-0.97
51;hortalicas;-8.41;2024-08;-9.8
52;laticinios;10.82;2024-08;0.3
53;oleos_gorduras;12.37;2024-08;0.98
54;outros;10.9;2024-08;0.99
55;proteinas;16.53;2024-08;0.58
56;frutas;15.91;2024-09;6.63
57;graos;1.6;2024-09;-0.42
58;hortalicas;-8.41;2024-09;-3.87
59;laticinios;10.82;2024-09;1.11
60;oleos_gorduras;12.37;2024-09;0.99
61;outros;10.9;2024-09;0.34
62;proteinas;16.53;2024-09;2.43
63;frutas;15.91;2024-10;-3.53
64;graos;1.6;2024-10;0.36
65;hortalicas;-8.41;2024-10;-2.74
66;laticinios;10.82;2024-10;1.77
67;oleos_gorduras;12.37;2024-10;1.46
68;outros;10.9;2024-10;1.55
69;proteinas;16.53;2024-10;4.59
70;frutas;15.91;2024-11;1.79
71;graos;1.6;2024-11;0.39
72;hortalicas;-8.41;2024-11;3.84
73;laticinios;10.82;2024-11;-0.52
74;oleos_gorduras;12.37;2024-11;2.82
75;outros;10.9;2024-11;1.26
76;proteinas;16.53;2024-11;5.12
77;frutas;15.91;2024-12;1.96
78;graos;1.6;2024-12;0.25
79;hortalicas;-8.41;2024-12;-4.07
80;laticinios;10.82;2024-12;-0.11
81;oleos_gorduras;12.37;2024-12;1.57
82;outros;10.9;2024-12;1.83
83;proteinas;16.53;2024-12;4.86
