;Itens;Categorias;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;inflacao_acumulada
0;Banana - prata;frutas;4.91;7.34;6.93;-0.31;-7.31;-5.5;-1.3;1.87;6.96;-7.71;0.64;5.53;10.84
1;Laranja - pera;frutas;6.79;7.76;7.97;1.22;-4.53;-3.45;-1.7;6.31;11.81;8.82;5.56;0.11;55.77
2;Mamão;frutas;-7.03;6.42;8.02;25.39;-2.08;-21.01;-15.79;19.95;13.78;-21.32;5.49;1.45;0.31
3;Maçã;frutas;4.98;-1.8;3.92;1.24;1.01;0.11;-4.91;4.8;0.62;2.55;-2.76;2.71;12.64
4;Melancia;frutas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;Arroz;graos;4.63;4.36;1.24;-2.05;0.75;2.18;-0.02;-1.4;-0.02;-0.23;-0.04;-0.73;8.77
6;Farinha de mandioca;graos;1.26;0.41;-0.12;1.78;0.13;-0.14;0.89;-2.17;-1.98;1.41;0.17;3.24;4.86
7;Farinha de trigo;graos;-3.54;-0.33;-1.28;-0.45;1.39;-1.03;-1.69;2.74;0.68;0.75;-0.24;1.39;-1.75
8;Feijão - carioca (rajado);graos;9.96;6.29;1.92;-4.66;-6.47;-3.55;-1.15;-3.7;-1.22;-0.42;1.09;-1.69;-4.66
9;Macarrão;graos;1.13;-1.89;-0.71;1.32;0.21;-0.02;0.34;-0.32;0.46;0.29;0.98;-0.97;0.78
10;Alface;hortalicas;-1.09;4.74;3.27;2.49;-1.46;-5.18;-3.04;-6.98;-1.36;-2.31;9.33;5.78;2.98
11;Batata-inglesa;hortalicas;22.34;8.78;-5.0;-7.61;12.15;17.67;-6.42;-17.7;-6.77;0.22;0.47;-11.61;-1.49
12;Cebola;hortalicas;-5.92;0.12;19.48;7.19;16.1;-5.19;-9.96;-9.17;-10.92;-12.9;2.91;-2.97;-15.86
13;Cenoura;hortalicas;35.32;9.73;-7.39;3.58;6.63;-1.6;-21.13;-12.29;-4.93;-7.35;7.76;-4.03;-5.82
14;Couve;hortalicas;-1.23;2.76;3.21;3.2;2.15;-1.56;-5.74;-4.51;5.33;-10.27;7.0;2.31;1.24
15;Pimentão;hortalicas;0.18;-11.24;11.63;25.26;-4.76;-5.93;-10.41;-1.08;-5.32;4.64;0.87;-12.14;-13.32
16;Tomate;hortalicas;-5.47;6.55;5.88;19.41;-10.55;13.15;-29.94;-16.89;-3.11;8.78;-1.48;-5.84;-26.62
17;Iogurte e bebidas lácteas;laticinios;0.25;0.95;-1.24;2.22;-0.53;0.26;1.08;0.71;2.1;1.14;0.14;0.11;7.37
18;Leite longa vida;laticinios;2.81;5.1;3.25;1.02;5.56;6.98;0.43;-1.52;0.72;3.24;-2.9;-2.25;24.24
19;Queijo;laticinios;2.84;-1.12;-3.68;-0.57;-2.0;1.28;-1.86;1.71;0.51;0.94;1.19;1.82;0.86
20;Azeite de oliva;oleos_gorduras;3.56;2.23;4.38;1.34;2.92;1.43;0.64;2.06;1.28;-0.3;0.29;0.63;22.37
21;Manteiga;oleos_gorduras;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Margarina;oleos_gorduras;-0.9;0.26;-2.39;-0.14;-1.52;0.15;-3.15;0.28;0.15;1.65;-0.5;-0.65;-6.64
23;Óleo de soja;oleos_gorduras;3.45;-0.5;0.14;-0.02;0.15;0.17;0.26;1.58;2.54;4.51;11.5;6.3;33.74
24;Café moído;outros;0.6;-1.82;1.33;2.94;2.69;2.46;2.73;2.97;1.03;4.64;3.78;5.49;32.71
25;Café solúvel;outros;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;Sal;outros;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;Acém;proteinas;-2.02;0.66;1.59;0.97;-1.14;-1.06;-0.85;0.4;2.97;11.43;6.93;8.36;30.96
28;Alcatra;proteinas;0.33;1.46;-4.58;0.88;-0.77;-1.09;-0.98;1.69;4.38;5.0;9.62;9.98;27.96
29;Carne de porco;proteinas;-2.9;0.14;-2.72;2.43;-0.59;1.37;1.14;3.68;5.48;0.2;6.28;4.48;20.16
30;Contrafilé;proteinas;1.36;-0.11;-3.81;-2.15;-0.41;-1.96;1.05;1.12;5.51;8.51;7.33;8.57;26.84
31;Costela;proteinas;-1.27;0.95;0.73;-2.61;0.78;-2.31;-0.54;0.96;4.08;9.38;6.43;5.7;23.79
32;Frango em pedaços;proteinas;0.96;-0.14;1.11;-0.37;1.36;-1.46;0.72;1.97;-0.57;0.76;0.49;1.87;6.85
33;Frango inteiro;proteinas;-1.02;1.01;1.55;-2.79;1.39;-1.49;0.86;-2.61;0.15;2.35;3.02;-0.03;2.22
34;Ovo de galinha;proteinas;-4.57;1.27;3.23;1.6;-1.77;1.16;-2.11;-2.55;-2.54;-0.91;0.82;-0.08;-6.53
